Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes),Batch Name
nuke_comp_template_test_mov_mov,66d6a1fe7e6b4b9c2f4bc8c2,mahendra.bobade,None,,pnewspt080.basilic.com,2024/09/03 11:13:26,2024/09/03 11:14:30,2024/09/03 11:15:35,2d_pool,2d_group,50,1001-1137,137,1,Nuke,1,8849,0,0,1,00:00:01:04,00:00:01:04,00:00:01:04,00:00:01:04,00:00:00:05,00:00:00:05,00:00:00:05,00:00:00:58,00:00:00:58,00:00:00:58,00:00:00:58,00:00:00:58,00:00:00:58,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1021104128,778820032,778820032,13 %,4 %,4 %,687811,17195270,0,0,0,
nuke_comp_template_test_mov_mov,66d6a28c7e6b4b9c2f4bc8eb,mahendra.bobade,None,,pnewspt080.basilic.com,2024/09/03 11:15:47,2024/09/03 11:16:38,2024/09/03 11:17:39,2d_pool,2d_group,50,1001-1137,137,1,Nuke,1,8723,0,0,1,00:00:01:01,00:00:01:01,00:00:01:01,00:00:01:01,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:58,00:00:00:58,00:00:00:58,00:00:00:58,00:00:00:58,00:00:00:58,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1027129344,793987328,793987328,11 %,5 %,5 %,861681,17233602,0,0,0,
nuke_comp_template_test_mov_mov,66d6a7087e6b4b9c2f4bc93b,ankit.shukla,None,,pnewspt102.basilic.com,2024/09/03 11:34:56,2024/09/03 11:35:45,2024/09/03 11:35:54,2d_pool,2d_group,50,1017-1047,31,1,Nuke,1,8802,0,0,1,00:00:00:08,00:00:00:08,00:00:00:08,00:00:00:08,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:05,00:00:00:05,00:00:00:05,00:00:00:05,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,958861312,586136576,586136576,18 %,6 %,6 %,79492,1324858,0,0,0,
nuke_comp_template_test_mov_mov,66d6a9dd7e6b4b9c2f4bc956,prashant.padvi,None,,pnewspt086.basilic.com,2024/09/03 11:47:01,2024/09/03 11:47:01,2024/09/03 11:47:31,2d_pool,2d_group,50,1017-1057,41,1,Nuke,1,8832,0,0,1,00:00:00:29,00:00:00:29,00:00:00:29,00:00:00:29,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:26,00:00:00:26,00:00:00:26,00:00:00:26,00:00:00:26,00:00:00:26,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1136664576,729146048,729146048,12 %,3 %,3 %,215475,7182490,0,0,0,
nuke_comp_template_test_mov_mov,66d6abb67e6b4b9c2f4bc96a,suraj.umbarkar,None,,pnewspt105.basilic.com,2024/09/03 11:54:53,2024/09/03 11:55:53,2024/09/03 11:56:11,2d_pool,2d_group,50,1017-1034,18,1,Nuke,1,8823,0,0,1,00:00:00:17,00:00:00:17,00:00:00:17,00:00:00:17,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,991793152,433879456,433879456,2 %,1 %,1 %,38970,3896957,0,0,0,
nuke_comp_template_test_mov_mov,66d6b0b17e6b4b9c2f4bc9b2,akshay.basarge,None,,pnewspt098.basilic.com,2024/09/03 12:16:09,2024/09/03 12:18:33,2024/09/03 12:19:11,2d_pool,2d_group,50,1001-1059,59,1,Nuke,1,8534,0,0,1,00:00:00:37,00:00:00:37,00:00:00:37,00:00:00:37,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:31,00:00:00:31,00:00:00:31,00:00:00:31,00:00:00:31,00:00:00:31,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1141866496,794008320,794008320,16 %,5 %,5 %,449967,8999338,0,0,0,
nuke_comp_template_test_mov_mov,66d6bce87e6b4b9c2f4bca86,rohitk,None,,pnewspd133.basilic.com,2024/09/03 13:08:15,2024/09/03 13:09:07,2024/09/03 13:10:15,2d_pool,2d_group,50,1001-1100,100,1,Nuke,1,8519,0,0,1,00:00:01:07,00:00:01:07,00:00:01:07,00:00:01:07,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:04,00:00:01:04,00:00:01:04,00:00:01:04,00:00:01:04,00:00:01:04,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1111293952,725953728,725953728,6 %,3 %,3 %,566220,18873994,0,0,0,
nuke_comp_template_test_mov_mov,66d6be227e6b4b9c2f4bcaa9,rameshnaidu.appikonda,None,,pnewspt089.basilic.com,2024/09/03 13:13:30,2024/09/03 13:23:59,2024/09/03 13:25:21,2d_pool,2d_group,50,1024-1138,115,1,Nuke,1,8495,0,0,1,00:00:01:21,00:00:01:21,00:00:01:21,00:00:01:21,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:18,00:00:01:18,00:00:01:18,00:00:01:18,00:00:01:18,00:00:01:18,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1231212544,842073024,842073024,9 %,3 %,3 %,714673,23822410,0,0,0,
nuke_comp_template_test_mov_mov,66d6d1f87e6b4b9c2f4bcbc5,rameshnaidu.appikonda,None,,pnewspt089.basilic.com,2024/09/03 14:38:07,2024/09/03 14:40:22,2024/09/03 14:41:56,2d_pool,2d_group,50,1024-1138,115,1,Nuke,1,8495,0,0,1,00:00:01:34,00:00:01:34,00:00:01:34,00:00:01:34,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:31,00:00:01:31,00:00:01:31,00:00:01:31,00:00:01:31,00:00:01:31,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1238155264,831749952,831749952,11 %,3 %,3 %,812735,27091152,0,0,0,
nuke_comp_template_test_mov_mov,66d6d39f7e6b4b9c2f4bcbe1,rameshnaidu.appikonda,None,,pnewspt089.basilic.com,2024/09/03 14:45:11,2024/09/03 14:52:02,2024/09/03 14:53:22,2d_pool,2d_group,50,1024-1138,115,1,Nuke,1,8477,0,0,1,00:00:01:19,00:00:01:19,00:00:01:19,00:00:01:19,00:00:00:03,00:00:00:03,00:00:00:03,00:00:01:16,00:00:01:16,00:00:01:16,00:00:01:16,00:00:01:16,00:00:01:16,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1236676608,854180224,854180224,8 %,3 %,3 %,670232,22341052,0,0,0,
