Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes),Batch Name,cores used
dpc000_1100_ch_15_katana_wire removel_v019.nk,661f92ea2f618a1633cf6157,surajumbarkar,,,pnewspt105,2024/04/17 14:44:18,2024/04/17 14:44:20,2024/04/17 14:47:56,2d_pool,2d_grp,100,2000-2615,616,124,Nuke,1,13015212,0,0,18,00:00:03:36,00:01:02:39,00:00:00:30,00:00:00:25,00:00:01:06,00:00:00:00,00:00:00:00,00:01:00:35,00:00:00:29,00:00:00:24,00:01:00:35,00:00:00:29,00:00:00:24,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,4017513468,32399302,32757446,4173275136,1863698971,1922726272,32 %,1 %,1 %,8363618,717491223,0,0,0,,28
dpc000_1100_ch_15_katana_wire removel_v019.nk,661f957a2f618a1633cf6187,surajumbarkar,,,pnewspt105,2024/04/17 14:55:14,2024/04/17 14:55:15,2024/04/17 14:59:01,2d_pool,2d_grp,100,2000-2615,616,124,Nuke,1,13015396,0,0,19,00:00:03:45,00:01:10:25,00:00:00:34,00:00:00:25,00:00:02:04,00:00:00:01,00:00:00:00,00:01:07:33,00:00:00:32,00:00:00:24,00:01:07:33,00:00:00:32,00:00:00:24,00:00:00:06,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,15083418327,121640470,124142382,4252635136,1848361744,2092150144,67 %,1 %,1 %,10510493,804779453,0,0,0,,59
dpc000_1100_DP_platform_post_clean_up_paint_v007.nk,661fab582f618a1633cf630f,sujitmule,,,pnewspt079,2024/04/17 16:28:32,2024/04/17 16:28:32,2024/04/17 16:31:01,2d_pool,2d_grp,100,977-1420,444,45,Nuke,0,0,0,0,16,00:00:02:28,00:00:39:20,00:00:00:52,00:00:00:50,00:00:00:58,00:00:00:01,00:00:00:00,00:00:38:07,00:00:00:50,00:00:00:49,00:00:38:07,00:00:00:50,00:00:00:49,00:00:00:05,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:06,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,10511170282,233581561,237384087,2472546304,872306471,811644480,80 %,2 %,2 %,9156072,489647885,0,0,0,,70
dpc000_1100_DP_platform_post_clean_up_paint_v007.nk,661fd4132f618a1633cf65e5,sujitmule,,,pnewspt079,2024/04/17 19:22:18,2024/04/17 19:25:30,2024/04/17 19:28:52,2d_pool,2d_grp,50,977-1420,444,45,Nuke,0,0,0,0,8,00:00:03:21,00:00:26:18,00:00:00:35,00:00:00:33,00:00:01:03,00:00:00:01,00:00:00:00,00:00:24:55,00:00:00:33,00:00:00:30,00:00:24:55,00:00:00:33,00:00:00:30,00:00:00:03,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:04,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:00,10511173020,233581622,237384088,3012005888,828007124,727578496,99 %,3 %,2 %,10967840,285367767,0,0,0,,87
dpc000_1100_pisanaB_reflaction_v014.nk,661fd2d82f618a1633cf65a9,sanjayn,,,pnewspt080,2024/04/17 19:17:03,2024/04/17 19:17:05,2024/04/17 19:21:00,2d_pool,2d_grp,100,1733-2311,579,58,Nuke,1,20897897,0,0,15,00:00:03:54,00:00:56:18,00:00:00:58,00:00:00:59,00:00:01:26,00:00:00:01,00:00:00:00,00:00:54:31,00:00:00:56,00:00:00:57,00:00:54:31,00:00:00:56,00:00:00:57,00:00:00:05,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:06,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,14054562780,242320047,246659656,8758296576,3304160253,3534862848,96 %,5 %,5 %,33085990,658338396,0,0,0,,84
dpc000_1100_pisanaB_reflaction_v014.nk,661fe2182f618a1633cf669a,sanjayn,,,pnewspt080,2024/04/17 20:22:08,2024/04/17 20:22:09,2024/04/17 20:26:32,2d_pool,2d_grp,100,1733-2311,579,58,Nuke,1,21579152,0,0,19,00:00:04:23,00:01:19:30,00:00:01:22,00:00:01:21,00:00:01:08,00:00:00:01,00:00:00:00,00:01:18:00,00:00:01:20,00:00:01:19,00:01:18:00,00:00:01:20,00:00:01:19,00:00:00:08,00:00:00:00,00:00:00:08,00:00:00:08,00:00:00:09,00:00:00:00,00:00:00:08,00:00:00:08,00:00:00:00,00:00:00:00,14055244704,242331805,246674928,8895291392,3801340305,4006786048,95 %,4 %,4 %,40846282,1011800852,0,0,0,,84
dpc000_1100_pisanaB_reflaction_v014.nk,662013f82f618a1633cf6a37,sanjayn,,,pnewspt080,2024/04/17 23:54:56,2024/04/17 23:54:57,2024/04/17 23:59:41,2d_pool,2d_grp,100,1733-2311,579,58,Nuke,1,23518151,0,0,18,00:00:04:43,00:01:20:19,00:00:01:23,00:00:01:19,00:00:01:08,00:00:00:01,00:00:00:00,00:01:18:49,00:00:01:21,00:00:01:18,00:01:18:49,00:00:01:21,00:00:01:18,00:00:00:08,00:00:00:00,00:00:00:08,00:00:00:08,00:00:00:08,00:00:00:00,00:00:00:08,00:00:00:08,00:00:00:00,00:00:00:00,14161386616,244161838,248331699,8349057024,3720530661,3909826304,93 %,3 %,3 %,31052723,1038869829,0,0,0,,82
dpc000_1100_stunt_gear_cleanup_v015.nk,661fe8cb2f618a1633cf6714,sudarshannavnath,,paint,pnewspt096,2024/04/17 20:50:43,2024/04/17 20:51:09,2024/04/17 20:57:35,2d_pool,2d_grp,100,1210-1715,506,506,Nuke,1,57810693,0,2,17,00:00:06:26,00:01:48:23,00:00:00:12,00:00:00:12,00:00:04:27,00:00:00:00,00:00:00:00,00:01:41:05,00:00:00:11,00:00:00:11,00:01:41:05,00:00:00:11,00:00:00:11,00:00:00:12,00:00:00:00,00:00:00:11,00:00:00:11,00:00:00:13,00:00:00:00,00:00:00:12,00:00:00:12,00:00:00:22,00:00:00:00,12069562655,23852890,23896973,4767576064,632902921,615084928,95 %,1 %,1 %,11750535,882178049,0,0,0,,84
dpc000_1100_stunt_gear_cleanup_v016.nk,661feafe2f618a1633cf6755,sudarshannavnath,,paint,pnewspt096,2024/04/17 21:00:06,2024/04/17 21:00:09,2024/04/17 21:07:17,2d_pool,2d_grp,100,1210-1715,506,506,Nuke,1,57840028,0,349,22,00:00:07:08,00:02:35:46,00:00:00:18,00:00:00:16,00:00:07:36,00:00:00:00,00:00:00:00,00:02:24:56,00:00:00:17,00:00:00:15,00:02:24:56,00:00:00:17,00:00:00:15,00:00:00:18,00:00:00:00,00:00:00:17,00:00:00:17,00:00:00:17,00:00:00:00,00:00:00:16,00:00:00:16,00:01:32:56,00:00:03:27,12075862118,23865340,23900217,6703906816,668869102,631430784,96 %,1 %,1 %,23295509,1254144470,0,0,0,,84
dpc000_1100_stunt_gear_cleanup_v017.nk,662001142f618a1633cf68dc,sudarshannavnath,,paint,pnewspt096,2024/04/17 22:34:20,2024/04/17 22:34:48,2024/04/17 22:45:26,2d_pool,2d_grp,100,1210-1715,506,506,Nuke,1,57838947,0,134,14,00:00:10:38,00:02:27:37,00:00:00:17,00:00:00:15,00:00:04:43,00:00:00:00,00:00:00:00,00:02:19:04,00:00:00:16,00:00:00:15,00:02:19:04,00:00:00:16,00:00:00:15,00:00:00:17,00:00:00:00,00:00:00:16,00:00:00:16,00:00:00:16,00:00:00:00,00:00:00:16,00:00:00:16,00:00:34:24,00:00:00:00,12075897659,23865410,23900349,6899449856,676080084,589222720,97 %,1 %,1 %,22744004,1210528716,0,0,0,,85
