Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes),Batch Name
nuke_comp_template_test_mov_mov,66d2e96f7e6b4b9c2f4b9cfa,yogesh.kate,None,,pnewspt079.basilic.com,2024/08/31 15:29:11,2024/08/31 15:34:49,2024/08/31 15:42:43,2d_pool,2d_group,100,1001-1140,140,140,Nuke,1,8573,0,0,2,00:00:07:54,00:00:12:50,00:00:00:05,00:00:00:04,00:00:02:12,00:00:00:00,00:00:00:00,00:00:09:41,00:00:00:04,00:00:00:03,00:00:09:41,00:00:00:04,00:00:00:03,00:00:00:05,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:05,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:44,0,0,0,1126662144,853765336,1012905984,20 %,1 %,2 %,1470377,85877728,0,0,0,
nuke_comp_template_test_mov_mov,66d2f0247e6b4b9c2f4b9db0,akshay.basarge,None,,pnewspt098.basilic.com,2024/08/31 15:57:48,2024/08/31 16:00:19,2024/08/31 16:01:20,2d_pool,2d_group,50,1001-1102,102,102,Nuke,1,8384,0,0,8,00:00:01:01,00:00:07:49,00:00:00:04,00:00:00:04,00:00:00:49,00:00:00:00,00:00:00:00,00:00:06:15,00:00:00:03,00:00:00:03,00:00:06:15,00:00:00:03,00:00:00:03,00:00:00:04,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:05,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:44,0,0,0,1121394688,893598565,1018182336,19 %,1 %,2 %,1057789,59076309,0,0,0,
nuke_comp_template_test_mov_mov,66d2f1e57e6b4b9c2f4b9e0b,yogesh.kate,None,,pnewspt079.basilic.com,2024/08/31 16:05:17,2024/08/31 16:10:56,2024/08/31 16:12:13,2d_pool,2d_group,50,1001-1140,140,1,Nuke,1,8573,0,0,1,00:00:01:16,00:00:01:16,00:00:01:16,00:00:01:16,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:13,00:00:01:13,00:00:01:13,00:00:01:13,00:00:01:13,00:00:01:13,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,924401664,765169280,765169280,8 %,3 %,3 %,665185,22172832,0,0,0,
nuke_comp_template_test_mov_mov,66d2f4c57e6b4b9c2f4b9e32,akshay.basarge,None,,pnewspt098.basilic.com,2024/08/31 16:17:33,2024/08/31 16:20:29,2024/08/31 16:21:21,2d_pool,2d_group,50,1001-1102,102,1,Nuke,1,8374,0,0,1,00:00:00:51,00:00:00:51,00:00:00:51,00:00:00:51,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:48,00:00:00:48,00:00:00:48,00:00:00:48,00:00:00:48,00:00:00:48,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,919150592,715539456,715539456,8 %,3 %,3 %,415905,13863484,0,0,0,
nuke_comp_template_test_mov_mov,66d2ffe67e6b4b9c2f4b9eba,prashant.padvi,None,,pnewspt086.basilic.com,2024/08/31 17:05:02,2024/08/31 17:06:09,2024/08/31 17:06:32,2d_pool,2d_group,50,1001-1090,90,1,Nuke,1,8599,0,0,1,00:00:00:23,00:00:00:23,00:00:00:23,00:00:00:23,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:20,00:00:00:20,00:00:00:20,00:00:00:20,00:00:00:20,00:00:00:20,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,810131456,385637664,385637664,77 %,18 %,18 %,1027231,5706835,0,0,0,
nuke_comp_template_test_mov_mov,66d315377e6b4b9c2f4b9fbb,akshay.basarge,None,,pnewspt098.basilic.com,2024/08/31 18:35:59,2024/08/31 18:38:29,2024/08/31 18:39:11,2d_pool,2d_group,50,1001-1050,50,1,Nuke,1,8381,0,0,1,00:00:00:41,00:00:00:41,00:00:00:41,00:00:00:41,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:38,00:00:00:38,00:00:00:38,00:00:00:38,00:00:00:38,00:00:00:38,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,921300992,392729760,392729760,10 %,2 %,2 %,210622,10531066,0,0,0,
te903_0063_prep_removeglow_v007.nk,66d2dd867e6b4b9c2f4b9b95,tejas.salve,,,pnewspt100.basilic.com,2024/08/31 14:38:22,2024/08/31 14:38:23,2024/08/31 14:39:12,2d_pool,2d_group,50,1001-1152,152,16,Nuke,1,1909473,0,0,13,00:00:00:48,00:00:10:21,00:00:00:38,00:00:00:41,00:00:00:44,00:00:00:02,00:00:00:02,00:00:09:37,00:00:00:36,00:00:00:38,00:00:09:37,00:00:00:36,00:00:00:38,00:00:00:04,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:05,00:00:00:01,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:00,0,0,0,5140570112,677642656,579272704,39 %,1 %,1 %,2425139,155156636,0,0,0,
TRK2202_003_0035_v007.nk,66d217577e6b4b9c2f4b91d6,kailash.saw,,,pnewspt094,2024/08/31 0:32:47,2024/08/31 0:32:49,2024/08/31 0:34:08,2d_pool,2d_group,1,1001-1089,89,89,Nuke,1,4297833,0,0,14,00:00:01:19,00:00:17:45,00:00:00:11,00:00:00:09,00:00:00:53,00:00:00:00,00:00:00:00,00:00:16:14,00:00:00:10,00:00:00:06,00:00:16:14,00:00:00:10,00:00:00:06,00:00:00:11,00:00:00:00,00:00:00:10,00:00:00:10,00:00:00:10,00:00:00:00,00:00:00:07,00:00:00:07,00:00:00:00,00:00:00:00,0,0,0,5523410944,2493477148,2848652032,90 %,6 %,5 %,9142592,225148993,0,0,0,
TRK2202_003_0035_v009.nk,66d235997e6b4b9c2f4b9398,kailash.saw,,,pnewspt094,2024/08/31 2:41:53,2024/08/31 2:41:54,2024/08/31 2:43:36,2d_pool,2d_group,1,1001-1089,89,89,Nuke,1,4688554,0,0,14,00:00:01:41,00:00:22:49,00:00:00:15,00:00:00:12,00:00:00:50,00:00:00:00,00:00:00:00,00:00:21:18,00:00:00:14,00:00:00:11,00:00:21:18,00:00:00:14,00:00:00:11,00:00:00:15,00:00:00:00,00:00:00:14,00:00:00:14,00:00:00:13,00:00:00:00,00:00:00:12,00:00:00:12,00:00:00:00,00:00:00:00,3286831132,36930686,36875790,9466560512,4792170142,5672498176,99 %,26 %,19 %,43808375,281584509,0,0,0,
TRK2202_017_0025_prep_Removedsetlight_v001.nk,66d2749e7e6b4b9c2f4b95d8,mahendra.bobade,,,pnewspt080.basilic.com,2024/08/31 7:10:46,2024/08/31 7:10:47,2024/08/31 7:11:29,2d_pool,2d_group,50,1001-1075,75,8,Nuke,1,72925,0,0,8,00:00:00:41,00:00:04:52,00:00:00:36,00:00:00:37,00:00:00:21,00:00:00:02,00:00:00:02,00:00:04:30,00:00:00:33,00:00:00:34,00:00:04:30,00:00:00:33,00:00:00:34,00:00:00:03,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:04,00:00:00:01,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:00,0,0,0,4364091392,1050514808,1155529344,86 %,2 %,2 %,2312195,76386316,0,0,0,
