Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Extra Info 0,Extra Info 1,Extra Info 2,Extra Info 3,Extra Info 4,Extra Info 5,Extra Info 6,Extra Info 7,Extra Info 8,Extra Info 9,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes)
com_0070_prep_bluewallwrinkleremoval_denoise_v001_,66e3cd957e6b4b9c2f4c7aa0,mahesh.mhetrajkar,None,,pnewspt097.basilic.com,2024/09/13 10:58:53,2024/09/13 11:01:37,2024/09/13 11:02:15,2d_pool,2d_group,50,1001-1176,176,1,Nuke,,,,,,,,,,,1,8771,0,0,1,00:00:00:37,00:00:00:37,00:00:00:37,00:00:00:37,00:00:00:03,00:00:00:03,00:00:00:03,00:00:00:34,00:00:00:34,00:00:00:34,00:00:00:34,00:00:00:34,00:00:00:34,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,979087360,523056992,523056992,45 %,13 %,13 %,1181611,9089309,0,0,0
com_0070_prep_bluewallwrinkleremoval_v001.nk,66e3cd487e6b4b9c2f4c7a86,mahesh.mhetrajkar,,,pnewspt097.basilic.com,2024/09/13 10:57:36,2024/09/13 10:57:37,2024/09/13 10:59:02,2d_pool,2d_group,50,1001-1176,176,18,Nuke,,,,,,,,,,,1,89288,0,0,12,00:00:01:25,00:00:16:49,00:00:00:56,00:00:00:58,00:00:00:53,00:00:00:02,00:00:00:02,00:00:15:56,00:00:00:53,00:00:00:55,00:00:15:56,00:00:00:53,00:00:00:55,00:00:00:05,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:06,00:00:00:01,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,0,0,0,4190605312,597617989,654891456,80 %,1 %,1 %,4945964,263901677,0,0,0
com_0080_prep_wireremoval_qc_v003.%04d_,66e3e9a77e6b4b9c2f4c7c2f,anurag.shetty,None,,pnewspt060.basilic.com,2024/09/13 12:58:39,2024/09/13 12:58:40,2024/09/13 12:59:36,2d_pool,2d_group,50,1001-1074,74,1,Nuke,,,,,,,,,,,1,3638,0,0,1,00:00:00:55,00:00:00:55,00:00:00:55,00:00:00:55,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:52,00:00:00:52,00:00:00:52,00:00:00:52,00:00:00:52,00:00:00:52,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,531406848,377555776,377555776,6 %,1 %,1 %,104185,10418495,0,0,0
com_0080_prep_wireremoval_qc_v003_,66e3e9ae7e6b4b9c2f4c7c31,anurag.shetty,None,,pnewspt060.basilic.com,2024/09/13 12:58:45,2024/09/13 12:59:50,2024/09/13 13:00:08,2d_pool,2d_group,50,1001-1074,74,1,Nuke,,,,,,,,,,,1,8449,0,0,1,00:00:00:18,00:00:00:18,00:00:00:18,00:00:00:18,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:15,00:00:00:15,00:00:00:15,00:00:00:15,00:00:00:15,00:00:00:15,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,958062592,614134976,614134976,48 %,18 %,18 %,478432,2657952,0,0,0
com_0080_prep_wireremoval_v007.nkversion_sg,66e3e9b07e6b4b9c2f4c7c32,anurag.shetty,,,pnewspt060,2024/09/13 12:58:48,2024/09/13 13:00:54,2024/09/13 13:01:14,ingestion_pool,none,50,1,1,1,Python,,,,,,,,,,,1,3142,0,0,1,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:16,00:00:00:16,00:00:00:16,00:00:00:16,00:00:00:16,00:00:00:16,00:00:00:19,00:00:00:02,00:00:00:16,00:00:00:16,00:00:00:20,00:00:00:03,00:00:00:17,00:00:00:17,00:00:00:00,00:00:00:00,0,0,0,192114688,173800656,173800656,1 %,1 %,1 %,37931,3793047,0,0,0
com_0100_prep_wrinkleromoved_wip_v001.%04d_,66e40f327e6b4b9c2f4c7ea2,yashwant.shinde,None,,pnewspt105.basilic.com,2024/09/13 15:38:50,2024/09/13 15:38:51,2024/09/13 15:40:07,2d_pool,2d_group,50,1000-1074,75,1,Nuke,,,,,,,,,,,1,3710,0,0,1,00:00:01:16,00:00:01:16,00:00:01:16,00:00:01:16,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:13,00:00:01:13,00:00:01:13,00:00:01:13,00:00:01:13,00:00:01:13,00:00:00:01,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:02,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,530526208,410507744,410507744,4 %,1 %,1 %,221013,22101236,0,0,0
com_0100_prep_wrinkleromoved_wip_v001_,66e40f397e6b4b9c2f4c7ea4,yashwant.shinde,None,,pnewspt105.basilic.com,2024/09/13 15:38:57,2024/09/13 15:40:39,2024/09/13 15:40:56,2d_pool,2d_group,50,1000-1074,75,1,Nuke,,,,,,,,,,,1,8539,0,0,1,00:00:00:17,00:00:00:17,00:00:00:17,00:00:00:17,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,944017408,642958528,642958528,55 %,17 %,17 %,667599,3927053,0,0,0
hk015_0010_prep_rig_v004.nk,66e4400c7e6b4b9c2f4c8073,narayan.patil,,,pnewspt089,2024/09/13 19:07:16,2024/09/13 19:07:18,2024/09/13 19:07:37,2d_pool,2d_group,100,1001-1003,3,3,Nuke,,,,,,,,,,,1,10910838,0,0,3,00:00:00:18,00:00:00:53,00:00:00:17,00:00:00:17,00:00:00:11,00:00:00:03,00:00:00:03,00:00:00:41,00:00:00:13,00:00:00:13,00:00:00:41,00:00:00:13,00:00:00:13,00:00:00:17,00:00:00:03,00:00:00:13,00:00:00:13,00:00:00:18,00:00:00:04,00:00:00:14,00:00:00:14,00:00:00:00,00:00:00:00,82772478,27590826,27606713,3073814528,392285728,413222080,25 %,1 %,1 %,127593,8241553,0,0,0
hk015_0010_prep_rig_v008.nk,66e46fb37e6b4b9c2f4c82bb,narayan.patil,,,pnewspt089,2024/09/13 22:30:35,2024/09/13 22:30:36,2024/09/13 22:33:00,2d_pool,2d_group,100,1001-1207,207,207,Nuke,,,,,,,,,,,1,1121842,0,7,15,00:00:02:24,00:00:34:21,00:00:00:09,00:00:00:08,00:00:01:30,00:00:00:00,00:00:00:00,00:00:31:14,00:00:00:09,00:00:00:07,00:00:31:14,00:00:00:09,00:00:00:07,00:00:00:09,00:00:00:00,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:00,00:00:00:08,00:00:00:08,00:00:01:39,00:00:00:00,5433706720,26249790,26506899,8961363968,1179611922,1219624960,95 %,4 %,3 %,15238873,372454527,0,0,0
KT1950_prep_crew_crew_v006.%04d_,66e3a5677e6b4b9c2f4c77de,rameshnaidu.appikonda,None,,pnewspt084.basilic.com,2024/09/13 8:07:26,2024/09/13 8:10:11,2024/09/13 8:13:30,2d_pool,2d_group,50,1001-1226,226,1,Nuke,,,,,,,,,,,1,3541,0,0,1,00:00:03:19,00:00:03:19,00:00:03:19,00:00:03:19,00:00:00:03,00:00:00:03,00:00:00:03,00:00:03:16,00:00:03:16,00:00:03:16,00:00:03:16,00:00:03:16,00:00:03:16,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,608514048,575967488,575967488,17 %,3 %,3 %,1823305,60776812,0,0,0
